from,to,relationship
UL,LK,
UL,NR,
UL,SW,
UL,CS,
LK,NR,
LK,SW,
LK,CS,
LK,UL,
NR,LK,
NR,SW,
NR,CS,
NR,UL,
SW,LK,
SW,NR,
SW,CS,
SW,UL,
CS,LK,
CS,NR,
CS,SW,
CS,UL,
CL,KS,
CL,LM,
CL,KD,
CL,EL,
KS,LM,
KS,KD,
KS,EL,
KS,CL,
LM,KD,
LM,EL,
LM,CL,
LM,KS,
KD,EL,
KD,CL,
KD,KS,
KD,LM,
EL,CL,
EL,KS,
EL,LM,
EL,KD,
AB,FT,
AB,AM,
AB,AGL,
AB,ER,
FT,AB,
FT,FT,
FT,AM,
FT,AGL,
AM,AB,
AM,FT,
AM,AGL,
AM,ER,
AGL,AB,
AGL,FT,
AGL,AM,
AGL,ER,
ER,AM,
ER,AGL,
ER,AB,
ER,FT,