id,name,party,sector,country
UL,Ursula von der Leyen,CDU,Politik,Germany
LK,Lars Klingbeil,SPD,Politik,Germany
NR,Norbert Röttgen ,CDU,Politik,Germany
SW,Sahra Wagenknecht,Die Linke,Politik,Germany
CS,Constanze Stelzenmüller,,Jura,Germany
CL,Christian Linder,,Politik,Germany
KS,Karl Schlögel,,Wissenschaft,Germany
LM,Ljudmyla Melnyk,,Wissenschaft,Ukraine
KD,Kristina Dunz,,Journalismus,Germany
EL,Egils Levits,,Politik,Lettland
AB,Annalena Baerbock,,Politik,Germany
FT,Frans Timmermans,,Politik,Netherlands
AM,Andrij Melnyk,,Politik,Ukraine
AGL,Alexander Graf Lambsdorff ,FDP,Politik,Germany
ER,Egon Ramms,,Verteidigung,Germany